iso3,country_name,region,paper_case_group,legitimacy_score,weather_buffers_score,terrain_productive_capacity_score,command_state_capacity_score,doctrine_fiscal_framework_score,track_record_score,conversion_capacity_score,resilience_score,scorecard_mean_8,scorecard_status,scorecard_note
USA,United States,North America,high_debt_resilient,3,4,5,4,3,5,5,4,4.125,populated_provisional_v0_1,"Qualitative paper scorecard; use for pilot classification, not final econometric inference."
CAN,Canada,North America,resilient_sovereign,4,4,4,4,4,4,4,4,4.0,populated_provisional_v0_1,"Qualitative paper scorecard; use for pilot classification, not final econometric inference."
BRA,Brazil,Latin America & Caribbean,strategic_transition,3,3,5,3,3,3,4,3,3.375,populated_provisional_v0_1,"Qualitative paper scorecard; use for pilot classification, not final econometric inference."
CHL,Chile,Latin America & Caribbean,resource_conversion,4,4,4,4,5,4,4,4,4.125,populated_provisional_v0_1,"Qualitative paper scorecard; use for pilot classification, not final econometric inference."
MEX,Mexico,Latin America & Caribbean,strategic_transition,3,3,4,3,3,3,4,3,3.25,populated_provisional_v0_1,"Qualitative paper scorecard; use for pilot classification, not final econometric inference."
DEU,Germany,Europe & Central Asia,geoeconomic_pressure,4,3,5,4,5,4,4,4,4.125,populated_provisional_v0_1,"Qualitative paper scorecard; use for pilot classification, not final econometric inference."
POL,Poland,Europe & Central Asia,geoeconomic_pressure,3,4,4,4,4,4,4,4,3.875,populated_provisional_v0_1,"Qualitative paper scorecard; use for pilot classification, not final econometric inference."
TUR,Türkiye,Europe & Central Asia / MENA bridge,geoeconomic_pressure,2,2,4,3,2,2,3,2.5,2.562,populated_provisional_v0_1,"Qualitative paper scorecard; use for pilot classification, not final econometric inference."
SAU,Saudi Arabia,Middle East & North Africa,resource_conversion,3,4,5,4,4,3,5,4,4.0,populated_provisional_v0_1,"Qualitative paper scorecard; use for pilot classification, not final econometric inference."
ARE,United Arab Emirates,Middle East & North Africa,strategic_conversion,3,4,4,5,5,5,5,5,4.5,populated_provisional_v0_1,"Qualitative paper scorecard; use for pilot classification, not final econometric inference."
EGY,Egypt,Middle East & North Africa,vulnerability_trap,2,2,3,3,2,2,2,2,2.25,populated_provisional_v0_1,"Qualitative paper scorecard; use for pilot classification, not final econometric inference."
